Hiligaynon Pattern (with ___),Correct Marker,Distractors (Bar Separated),English Meaning,Category
Dako ___ balay.,ang,sa | sang,The house is big.,Subject Markers
Makadto ako ___ palengke.,sa,ang | si,I am going to the market.,Direction Markers
Namit ___ inasal.,ang,sang | ni,The grilled meat is delicious.,Subject Markers
Nagakaon ___ bata.,ang,sa | si,The child is eating.,Subject Markers
Libro ___ Maria.,ni,si | sa,Maria's book.,Possessive Markers
Maayo ___ aga.,nga,ang | sa,Good morning.,Connectors
Gusto ko ___ kape.,sang,ang | si,I want some coffee.,Object Markers
Gwapa ___ maestra.,ang,sa | sang,The teacher is beautiful.,Subject Markers
Nagahampang ___ Juan.,si,ang | ni,Juan is playing.,Personal Markers
Di-in ___ balay mo?,ang,sa | sang,Where is your house?,Subject Markers
Hampang kita ___ gwa.,sa,ang | si,Let's play outside.,Direction Markers
Inom ___ tubig.,sang,ang | sa,Drink some water.,Object Markers
Sapatos ___ tatay.,ni,si | sang,Father's shoes.,Possessive Markers
Madasig ___ dalagan.,ang,sa | sang,The run is fast.,Subject Markers
Salamat ___ bulig.,sa,ang | sang,Thank you for the help.,Direction Markers
